name|address|zipcode|city|phone|email|industrydesc
RISSKOV SUSHI ApS|Nordre Strandvej 82|8240|Risskov|26792040||Servering af mad i restauranter og caféer
RISSKOV IT SERVICE ApS|Lystrupvej 21B|8240|Risskov|||Computerprogrammering
Mó VVS ApS|Pallisvej 54|8220|Brabrand|31535351|info@mo-vvs.dk|Installation af vvs-, varme- og klimaanlæg
JAN SLOTH JØRGENSEN TØMRER & SNEDKERFIRMA A/S|Rørdrumvej 9|8220|Brabrand|86941046|jan.sloth@post.tele.dk|Tømrer- og bygningssnedkervirksomhed
A.E. Brabrand A/S|Marathonvej 5|9230|Svenstrup J|||Udlejning af erhvervsejendomme
A.E. Brabrand A/S|Marathonvej 5|9230|Svenstrup J|||Udlejning af erhvervsejendomme
A.E. Brabrand A/S|Marathonvej 5|9230|Svenstrup J|||Udlejning af erhvervsejendomme
||||||
||||||
||||||
||||||
||||||
||||||
||||||
||||||
||||||
